Division,District,Upazila,Market,Commodity,Price Type,Year,Lowest Price,Highest Price,Average Price
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Sugar (Imported),Wholesale,2018,"4,811.41","4,916.53","4,863.97"
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Sugar (Imported),Wholesale,2019,"5,029.92","5,129.84","5,079.88"
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Sugar (Imported),Wholesale,2020,"5,709.80","5,765.93","5,737.86"
Dhaka,Gazipur,Gazipur Sadar,Gazipur Sadar,Sugar (Imported),Retail,2018,53.24,54.68,53.96
Dhaka,Gazipur,Gazipur Sadar,Gazipur Sadar,Sugar (Imported),Retail,2019,53.66,55.27,54.47
Dhaka,Gazipur,Gazipur Sadar,Gazipur Sadar,Sugar (Imported),Retail,2020,61.59,63.5,62.54
Dhaka,Gazipur,Gazipur Sadar,Gazipur Sadar,Sugar (Imported),Wholesale,2018,"4,930.61","5,004.53","4,967.57"
Dhaka,Gazipur,Gazipur Sadar,Gazipur Sadar,Sugar (Imported),Wholesale,2019,"4,975.86","5,077.34","5,026.60"
Dhaka,Gazipur,Gazipur Sadar,Gazipur Sadar,Sugar (Imported),Wholesale,2020,"5,621.56","5,743.12","5,682.34"
Dhaka,Gopalgonj,Gopalgonj Sadar,Gopalgonj Sadar,Sugar (Imported),Retail,2018,53.7,54.76,54.23
Dhaka,Gopalgonj,Gopalgonj Sadar,Gopalgonj Sadar,Sugar (Imported),Retail,2019,57.75,58.75,58.25
Dhaka,Gopalgonj,Gopalgonj Sadar,Gopalgonj Sadar,Sugar (Imported),Retail,2020,62.03,63.06,62.54
Dhaka,Gopalgonj,Gopalgonj Sadar,Gopalgonj Sadar,Sugar (Imported),Wholesale,2018,"4,987.40","5,082.09","5,034.74"
Dhaka,Gopalgonj,Gopalgonj Sadar,Gopalgonj Sadar,Sugar (Imported),Wholesale,2019,"5,408.94","5,508.94","5,458.94"
Dhaka,Gopalgonj,Gopalgonj Sadar,Gopalgonj Sadar,Sugar (Imported),Wholesale,2020,"5,844.75","5,944.75","5,894.75"
Sylhet,Habigonj,Habigonj Sadar,Habigonj Sadar,Sugar (Imported),Retail,2018,48,50,49
Sylhet,Habigonj,Habigonj Sadar,Habigonj Sadar,Sugar (Imported),Retail,2019,51.18,52.51,51.85
Sylhet,Habigonj,Habigonj Sadar,Habigonj Sadar,Sugar (Imported),Wholesale,2018,"4,600.00","4,800.00","4,700.00"
Sylhet,Habigonj,Habigonj Sadar,Habigonj Sadar,Sugar (Imported),Wholesale,2019,"4,903.51","5,040.35","4,971.93"
Rajshahi,Jaipurhat,Jaipurhat Sadar,Jaipurhat Sadar,Sugar (Imported),Retail,2018,52.77,54.09,53.43
Rajshahi,Jaipurhat,Jaipurhat Sadar,Jaipurhat Sadar,Sugar (Imported),Retail,2019,53.62,105.21,79.42
Rajshahi,Jaipurhat,Jaipurhat Sadar,Jaipurhat Sadar,Sugar (Imported),Retail,2020,61.22,62.29,61.75
Rajshahi,Jaipurhat,Jaipurhat Sadar,Jaipurhat Sadar,Sugar (Imported),Wholesale,2018,"4,998.79","5,027.63","5,013.21"
Rajshahi,Jaipurhat,Jaipurhat Sadar,Jaipurhat Sadar,Sugar (Imported),Wholesale,2019,"5,112.48","5,182.87","5,147.67"
Rajshahi,Jaipurhat,Jaipurhat Sadar,Jaipurhat Sadar,Sugar (Imported),Wholesale,2020,"5,899.96","5,948.89","5,924.42"
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Sugar (Imported),Retail,2018,51.7,52.86,52.28
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Sugar (Imported),Retail,2019,54.07,55.33,54.7
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Sugar (Imported),Retail,2020,61.35,62.72,62.04
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Sugar (Imported),Wholesale,2018,"4,897.10","4,956.10","4,926.60"
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Sugar (Imported),Wholesale,2019,"5,145.05","6,599.21","5,872.13"
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Sugar (Imported),Wholesale,2020,"5,822.86","5,866.35","5,844.61"
Khulna,Jessore,Jessore Sadar,Jessore Sadar,Sugar (Imported),Retail,2019,56.62,58.08,57.35
Khulna,Jessore,Jessore Sadar,Jessore Sadar,Sugar (Imported),Retail,2020,61.22,62.56,61.89
Khulna,Jessore,Jessore Sadar,Jessore Sadar,Sugar (Imported),Wholesale,2019,"5,449.02","5,520.44","5,484.73"
Khulna,Jessore,Jessore Sadar,Jessore Sadar,Sugar (Imported),Wholesale,2020,"5,890.09","5,932.77","5,911.43"
Barisal,Jhalokati,Jhalokati Sadar,Jhalokati Sadar,Sugar (Imported),Retail,2018,51.72,53.24,52.48
Barisal,Jhalokati,Jhalokati Sadar,Jhalokati Sadar,Sugar (Imported),Retail,2019,53.85,55.06,54.46
Barisal,Jhalokati,Jhalokati Sadar,Jhalokati Sadar,Sugar (Imported),Retail,2020,60.91,62,61.46
Barisal,Jhalokati,Jhalokati Sadar,Jhalokati Sadar,Sugar (Imported),Wholesale,2018,"4,887.76","4,912.16","4,899.96"
Barisal,Jhalokati,Jhalokati Sadar,Jhalokati Sadar,Sugar (Imported),Wholesale,2019,"5,016.98","5,161.22","5,089.10"
Barisal,Jhalokati,Jhalokati Sadar,Jhalokati Sadar,Sugar (Imported),Wholesale,2020,"5,765.02","5,807.04","5,786.03"
Khulna,Jhinaidah,Jhenaidah Sadar,Jhenaidah Sadar,Sugar (Imported),Retail,2018,52.12,53.65,52.89
Khulna,Jhinaidah,Jhenaidah Sadar,Jhenaidah Sadar,Sugar (Imported),Retail,2019,54.61,56.02,55.31
Khulna,Jhinaidah,Jhenaidah Sadar,Jhenaidah Sadar,Sugar (Imported),Retail,2020,61.9,63.01,62.46
